Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error,Epoch Number, Total Squared Error, ,,,
155,0.264607,155,4.055878,155,4.191818,155,0.81939,0.1323035,2.027939,2.095909,0.409695
156,0.259056,156,4.032123,156,4.183236,156,0.783626,0.129528,2.0160615,2.091618,0.391813
157,0.253707,157,4.006523,157,4.173951,157,0.75008,0.1268535,2.0032615,2.0869755,0.37504
158,0.248549,158,3.979006,158,4.163925,158,0.718599,0.1242745,1.989503,2.0819625,0.3592995
159,0.243573,159,3.949502,159,4.153116,159,0.689041,0.1217865,1.974751,2.076558,0.3445205
160,0.23877,160,3.917949,160,4.141485,160,0.661272,0.119385,1.9589745,2.0707425,0.330636
161,0.234132,161,3.884289,161,4.128994,161,0.635164,0.117066,1.9421445,2.064497,0.317582
162,0.229651,162,3.848474,162,4.115607,162,0.610602,0.1148255,1.924237,2.0578035,0.305301
163,0.22532,163,3.81046,163,4.10129,163,0.587475,0.11266,1.90523,2.050645,0.2937375
164,0.221131,164,3.770208,164,4.086014,164,0.565683,0.1105655,1.885104,2.043007,0.2828415
165,0.217079,165,3.727686,165,4.069751,165,0.545132,0.1085395,1.863843,2.0348755,0.272566
166,0.213157,166,3.682864,166,4.05248,166,0.525734,0.1065785,1.841432,2.02624,0.262867
167,0.209359,167,3.635718,167,4.034184,167,0.507411,0.1046795,1.817859,2.017092,0.2537055
168,0.20568,168,3.586222,168,4.01485,168,0.490087,0.10284,1.793111,2.007425,0.2450435
169,0.202115,169,3.534357,169,3.994473,169,0.473694,0.1010575,1.7671785,1.9972365,0.236847
170,0.198659,170,3.4801,170,3.973054,170,0.458169,0.0993295,1.74005,1.986527,0.2290845
171,0.195307,171,3.423434,171,3.950596,171,0.443454,0.0976535,1.711717,1.975298,0.221727
172,0.192055,172,3.364343,172,3.927111,172,0.429494,0.0960275,1.6821715,1.9635555,0.214747
173,0.188898,173,3.302816,173,3.902613,173,0.41624,0.094449,1.651408,1.9513065,0.20812
174,0.185834,174,3.23885,174,3.877122,174,0.403645,0.092917,1.619425,1.938561,0.2018225
175,0.182857,175,3.17245,175,3.850659,175,0.391668,0.0914285,1.586225,1.9253295,0.195834
176,0.179965,176,3.103636,176,3.823246,176,0.380269,0.0899825,1.551818,1.911623,0.1901345
177,0.177154,177,3.032445,177,3.794904,177,0.369411,0.088577,1.5162225,1.897452,0.1847055
178,0.174422,178,2.958939,178,3.765652,178,0.359061,0.087211,1.4794695,1.882826,0.1795305
179,0.171764,179,2.8832,179,3.735504,179,0.349188,0.085882,1.4416,1.867752,0.174594
180,0.169178,180,2.805346,180,3.70447,180,0.339762,0.084589,1.402673,1.852235,0.169881
181,0.166662,181,2.725521,181,3.672547,181,0.330757,0.083331,1.3627605,1.8362735,0.1653785
182,0.164212,182,2.643908,182,3.639726,182,0.322148,0.082106,1.321954,1.819863,0.161074
183,0.161827,183,2.560723,183,3.605984,183,0.313912,0.0809135,1.2803615,1.802992,0.156956
184,0.159504,184,2.476216,184,3.571286,184,0.306027,0.079752,1.238108,1.785643,0.1530135
185,0.15724,185,2.390672,185,3.53558,185,0.298474,0.07862,1.195336,1.76779,0.149237
186,0.155034,186,2.304405,186,3.498801,186,0.291233,0.077517,1.1522025,1.7494005,0.1456165
187,0.152883,187,2.217753,187,3.460866,187,0.284287,0.0764415,1.1088765,1.730433,0.1421435
188,0.150786,188,2.131072,188,3.421675,188,0.277621,0.075393,1.065536,1.7108375,0.1388105
189,0.14874,189,2.044732,189,3.381114,189,0.271218,0.07437,1.022366,1.690557,0.135609
190,0.146745,190,1.959103,190,3.339049,190,0.265066,0.0733725,0.9795515,1.6695245,0.132533
191,0.144797,191,1.874551,191,3.295334,191,0.25915,0.0723985,0.9372755,1.647667,0.129575
192,0.142896,192,1.791429,192,3.249807,192,0.253458,0.071448,0.8957145,1.6249035,0.126729
193,0.141039,193,1.710067,193,3.202298,193,0.24798,0.0705195,0.8550335,1.601149,0.12399
194,0.139227,194,1.630765,194,3.152624,194,0.242703,0.0696135,0.8153825,1.576312,0.1213515
195,0.137456,195,1.553789,195,3.100602,195,0.237618,0.068728,0.7768945,1.550301,0.118809
196,0.135726,196,1.479365,196,3.046049,196,0.232716,0.067863,0.7396825,1.5230245,0.116358
197,0.134035,197,1.407677,197,2.98879,197,0.227987,0.0670175,0.7038385,1.494395,0.1139935
198,0.132382,198,1.338865,198,2.928667,198,0.223423,0.066191,0.6694325,1.4643335,0.1117115
199,0.130766,199,1.273029,199,2.865547,199,0.219017,0.065383,0.6365145,1.4327735,0.1095085
200,0.129185,200,1.210226,200,2.799338,200,0.21476,0.0645925,0.605113,1.399669,0.10738
201,0.127639,201,1.150476,201,2.729995,201,0.210646,0.0638195,0.575238,1.3649975,0.105323
202,0.126127,202,1.093768,202,2.657538,202,0.206668,0.0630635,0.546884,1.328769,0.103334
203,0.124647,203,1.040057,203,2.582058,203,0.202821,0.0623235,0.5200285,1.291029,0.1014105
204,0.123199,204,0.98928,204,2.503733,204,0.199097,0.0615995,0.49464,1.2518665,0.0995485
205,0.121781,205,0.941348,205,2.422829,205,0.195492,0.0608905,0.470674,1.2114145,0.097746
206,0.120392,206,0.896161,206,2.339701,206,0.192001,0.060196,0.4480805,1.1698505,0.0960005
207,0.119033,207,0.853605,207,2.254789,207,0.188618,0.0595165,0.4268025,1.1273945,0.094309
208,0.117701,208,0.813559,208,2.168606,208,0.185339,0.0588505,0.4067795,1.084303,0.0926695
209,0.116396,209,0.775899,209,2.081717,209,0.182159,0.058198,0.3879495,1.0408585,0.0910795
210,0.115118,210,0.740497,210,1.99472,210,0.179075,0.057559,0.3702485,0.99736,0.0895375
211,0.113865,211,0.707224,211,1.908219,211,0.176081,0.0569325,0.353612,0.9541095,0.0880405
212,0.112637,212,0.675956,212,1.822799,212,0.173176,0.0563185,0.337978,0.9113995,0.086588
213,0.111433,213,0.646571,213,1.739004,213,0.170355,0.0557165,0.3232855,0.869502,0.0851775
214,0.110253,214,0.61895,214,1.657322,214,0.167614,0.0551265,0.309475,0.828661,0.083807
215,0.109095,215,0.59298,215,1.578165,215,0.16495,0.0545475,0.29649,0.7890825,0.082475
216,0.10796,216,0.568554,216,1.501867,216,0.162361,0.05398,0.284277,0.7509335,0.0811805
217,0.106846,217,0.545569,217,1.428682,217,0.159844,0.053423,0.2727845,0.714341,0.079922
218,0.105753,218,0.52393,218,1.358785,218,0.157395,0.0528765,0.261965,0.6793925,0.0786975
219,0.10468,219,0.503546,219,1.29228,219,0.155012,0.05234,0.251773,0.64614,0.077506
220,0.103628,220,0.484332,220,1.229205,220,0.152693,0.051814,0.242166,0.6146025,0.0763465
221,0.102594,221,0.46621,221,1.169547,221,0.150436,0.051297,0.233105,0.5847735,0.075218
222,0.10158,222,0.449106,222,1.113246,222,0.148237,0.05079,0.224553,0.556623,0.0741185
223,0.100584,223,0.432951,223,1.06021,223,0.146095,0.050292,0.2164755,0.530105,0.0730475
224,0.099605,224,0.417681,224,1.01032,224,0.144008,0.0498025,0.2088405,0.50516,0.072004
,,225,0.403237,225,0.96344,225,0.141974, ,0.2016185,0.48172,0.070987
,,226,0.389565,226,0.919419,226,0.139991, ,0.1947825,0.4597095,0.0699955
,,227,0.376612,227,0.878104,227,0.138057, ,0.188306,0.439052,0.0690285
,,228,0.364332,228,0.839338,228,0.13617, ,0.182166,0.419669,0.068085
,,229,0.352681,229,0.802963,229,0.134329, ,0.1763405,0.4014815,0.0671645
,,230,0.341618,230,0.768829,230,0.132533, ,0.170809,0.3844145,0.0662665
,,231,0.331106,231,0.736788,231,0.130779, ,0.165553,0.368394,0.0653895
,,232,0.32111,232,0.706698,232,0.129067, ,0.160555,0.353349,0.0645335
,,233,0.311597,233,0.678427,233,0.127394, ,0.1557985,0.3392135,0.063697
,,234,0.302537,234,0.651849,234,0.125761, ,0.1512685,0.3259245,0.0628805
,,235,0.293902,235,0.626846,235,0.124164, ,0.146951,0.313423,0.062082
,,236,0.285667,236,0.603307,236,0.122604, ,0.1428335,0.3016535,0.061302
,,237,0.277807,237,0.581129,237,0.121079, ,0.1389035,0.2905645,0.0605395
,,238,0.270301,238,0.560218,238,0.119588, ,0.1351505,0.280109,0.059794
,,239,0.263127,239,0.540485,239,0.118129, ,0.1315635,0.2702425,0.0590645
,,240,0.256266,240,0.521848,240,0.116703, ,0.128133,0.260924,0.0583515
,,241,0.2497,241,0.50423,241,0.115307, ,0.12485,0.252115,0.0576535
,,242,0.243412,242,0.487562,242,0.113942, ,0.121706,0.243781,0.056971
,,243,0.237387,243,0.471779,243,0.112605, ,0.1186935,0.2358895,0.0563025
,,244,0.231611,244,0.456821,244,0.111297, ,0.1158055,0.2284105,0.0556485
,,245,0.226068,245,0.442633,245,0.110016, ,0.113034,0.2213165,0.055008
,,246,0.220748,246,0.429164,246,0.108761, ,0.110374,0.214582,0.0543805
,,247,0.215638,247,0.416366,247,0.107532, ,0.107819,0.208183,0.053766
,,248,0.210726,248,0.404197,248,0.106328, ,0.105363,0.2020985,0.053164
,,249,0.206003,249,0.392615,249,0.105148, ,0.1030015,0.1963075,0.052574
